epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,891.318,0.84586,0.83153,1.1178,0.39278,0.39234,0.32174,0.15817,1.87536,2.34908,1.95808,0.000334958,0.000334958,0.000334958
118,898.932,0.83453,0.76403,1.08591,0.38808,0.39977,0.32474,0.15865,1.81945,2.3261,1.86054,0.000325526,0.000325526,0.000325526
119,906.777,0.88606,0.80413,1.12934,0.42418,0.36876,0.33832,0.16533,1.81625,2.31561,1.853,0.000316095,0.000316095,0.000316095
120,914.877,0.82127,0.76277,1.08758,0.44633,0.37725,0.3605,0.17222,1.79908,2.28619,1.83658,0.000306663,0.000306663,0.000306663
121,922.688,0.78647,0.78898,1.10259,0.4017,0.41122,0.35963,0.18518,1.77155,2.24715,1.86477,0.000297232,0.000297232,0.000297232
122,930.411,0.83146,0.78176,1.0887,0.43091,0.36192,0.35348,0.18092,1.76758,2.32057,1.85939,0.000287801,0.000287801,0.000287801
123,938.082,0.82726,0.75216,1.10376,0.39409,0.35705,0.32866,0.16663,1.78912,2.34873,1.88543,0.000278369,0.000278369,0.000278369
124,945.923,0.82111,0.73211,1.08819,0.3545,0.38934,0.30797,0.14903,1.85377,2.36616,1.9341,0.000268938,0.000268938,0.000268938
125,953.623,0.81683,0.75004,1.06915,0.48328,0.28576,0.32105,0.15392,1.83873,2.3612,1.93088,0.000259506,0.000259506,0.000259506
126,961.269,0.8001,0.75047,1.05641,0.47969,0.32102,0.33939,0.17285,1.77002,2.32107,1.87615,0.000250075,0.000250075,0.000250075
127,968.936,0.8173,0.77939,1.06373,0.50177,0.34432,0.33988,0.17516,1.76151,2.33128,1.85259,0.000240644,0.000240644,0.000240644
128,976.953,0.79466,0.73816,1.06081,0.44903,0.35886,0.33421,0.1726,1.78735,2.37426,1.852,0.000231212,0.000231212,0.000231212
129,984.931,0.77776,0.69863,1.07795,0.40673,0.35203,0.34723,0.18149,1.79904,2.35886,1.87079,0.000221781,0.000221781,0.000221781
130,992.821,0.79029,0.70563,1.06481,0.40975,0.38947,0.35768,0.18614,1.77064,2.29279,1.86846,0.000212349,0.000212349,0.000212349
131,1000.59,0.76802,0.72647,1.07375,0.44528,0.36245,0.34839,0.18141,1.77734,2.2957,1.89053,0.000202918,0.000202918,0.000202918
132,1008.01,0.75128,0.69058,1.06715,0.39461,0.36754,0.32218,0.16296,1.80215,2.34485,1.91311,0.000193487,0.000193487,0.000193487
133,1015.44,0.76498,0.71474,1.04106,0.35109,0.40773,0.3233,0.16294,1.8045,2.3737,1.91174,0.000184055,0.000184055,0.000184055
134,1022.87,0.76614,0.73357,1.05258,0.34156,0.39424,0.31945,0.16332,1.80284,2.36928,1.9008,0.000174624,0.000174624,0.000174624
135,1030.41,0.77472,0.70273,1.05407,0.33035,0.40778,0.32464,0.16628,1.80911,2.37966,1.90888,0.000165192,0.000165192,0.000165192
136,1037.88,0.76276,0.67699,1.02883,0.33654,0.38896,0.32177,0.16863,1.78277,2.38623,1.91088,0.000155761,0.000155761,0.000155761
137,1045.5,0.74486,0.7007,1.054,0.41517,0.3631,0.33225,0.17467,1.77101,2.38114,1.9442,0.00014633,0.00014633,0.00014633
138,1052.96,0.75773,0.71319,1.02827,0.46723,0.3522,0.33851,0.17457,1.77924,2.3426,2.01366,0.000136898,0.000136898,0.000136898
139,1060.37,0.75273,0.67638,1.02711,0.40235,0.36554,0.33302,0.17116,1.78649,2.32889,2.00274,0.000127467,0.000127467,0.000127467
140,1067.88,0.74711,0.65655,1.01947,0.35154,0.4062,0.32338,0.16288,1.79474,2.31101,1.96078,0.000118035,0.000118035,0.000118035
141,1075.31,0.74532,0.69068,1.03671,0.34018,0.42447,0.32292,0.1626,1.78878,2.28633,1.93091,0.000108604,0.000108604,0.000108604
142,1082.66,0.78307,0.67094,1.04244,0.33313,0.4439,0.32293,0.1644,1.78214,2.28747,1.90728,9.91726e-05,9.91726e-05,9.91726e-05
143,1090.12,0.74653,0.65429,1.04253,0.34103,0.44125,0.33239,0.16734,1.76519,2.28217,1.9046,8.97412e-05,8.97412e-05,8.97412e-05
144,1097.66,0.74151,0.66288,1.02765,0.38223,0.36953,0.32818,0.16501,1.77767,2.28647,1.90903,8.03098e-05,8.03098e-05,8.03098e-05
145,1105.07,0.6881,0.65561,1.00921,0.38772,0.3954,0.33484,0.16869,1.77574,2.26753,1.91274,7.08784e-05,7.08784e-05,7.08784e-05
146,1112.42,0.75641,0.68334,1.0347,0.43223,0.35916,0.33085,0.16897,1.78563,2.28114,1.91934,6.1447e-05,6.1447e-05,6.1447e-05
147,1119.64,0.72713,0.66982,1.01512,0.39347,0.3815,0.33323,0.17008,1.79002,2.28917,1.92566,5.20156e-05,5.20156e-05,5.20156e-05
148,1127.01,0.75891,0.66828,1.04334,0.37682,0.40376,0.32992,0.16708,1.78708,2.28161,1.91456,4.25842e-05,4.25842e-05,4.25842e-05
149,1134.37,0.72832,0.65537,1.02718,0.36776,0.40009,0.3288,0.17016,1.7926,2.29759,1.90556,3.31528e-05,3.31528e-05,3.31528e-05
150,1141.78,0.71301,0.63204,1.02406,0.35818,0.41997,0.32886,0.16913,1.79477,2.30573,1.89729,2.37214e-05,2.37214e-05,2.37214e-05
